timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1714890373555,8,PYTHON,201,Created,ALUMNO_POST 1-1,text,true,,481,1200,1,1,http://localhost:8000/api/alumnos/create/,8,0,3
1714890373605,6,PYTHON,201,Created,ALUMNO_POST 1-2,text,true,,481,1207,2,2,http://localhost:8000/api/alumnos/create/,6,0,1
1714890373659,6,PYTHON,201,Created,ALUMNO_POST 1-3,text,true,,481,1186,3,3,http://localhost:8000/api/alumnos/create/,6,0,0
1714890373709,4,PYTHON,201,Created,ALUMNO_POST 1-4,text,true,,481,1200,4,4,http://localhost:8000/api/alumnos/create/,4,0,0
1714890373759,4,PYTHON,201,Created,ALUMNO_POST 1-5,text,true,,481,1193,5,5,http://localhost:8000/api/alumnos/create/,4,0,0
1714890373809,4,PYTHON,201,Created,ALUMNO_POST 1-6,text,true,,481,1193,6,6,http://localhost:8000/api/alumnos/create/,4,0,0
1714890373564,268,PHP,200,OK,ALUMNO_POST 1-1,text,true,,19338,469,6,6,http://localhost:8001,224,0,0
1714890373564,224,PHP-0,302,Found,ALUMNO_POST 1-1,text,true,,650,321,6,6,http://localhost:8001/api/alumnos/,224,0,0
1714890373788,44,PHP-1,200,OK,ALUMNO_POST 1-1,text,true,,18688,148,6,6,http://localhost:8001,44,0,1
1714890373832,4,PYTHON,201,Created,ALUMNO_POST 1-1,text,true,,481,1151,6,6,http://localhost:8000/api/alumnos/create/,4,0,0
1714890373612,225,PHP,200,OK,ALUMNO_POST 1-2,text,true,,19338,469,6,6,http://localhost:8001,184,0,0
1714890373612,184,PHP-0,302,Found,ALUMNO_POST 1-2,text,true,,650,321,6,6,http://localhost:8001/api/alumnos/,184,0,0
1714890373796,41,PHP-1,200,OK,ALUMNO_POST 1-2,text,true,,18688,148,6,6,http://localhost:8001,41,0,0
1714890373837,4,PYTHON,201,Created,ALUMNO_POST 1-2,text,true,,481,1137,6,6,http://localhost:8000/api/alumnos/create/,4,0,0
1714890373665,179,PHP,200,OK,ALUMNO_POST 1-3,text,true,,19338,469,6,6,http://localhost:8001,138,0,0
1714890373665,138,PHP-0,302,Found,ALUMNO_POST 1-3,text,true,,650,321,6,6,http://localhost:8001/api/alumnos/,138,0,0
1714890373803,41,PHP-1,200,OK,ALUMNO_POST 1-3,text,true,,18688,148,6,6,http://localhost:8001,40,0,0
1714890373844,4,PYTHON,201,Created,ALUMNO_POST 1-3,text,true,,481,1137,6,6,http://localhost:8000/api/alumnos/create/,4,0,0
1714890373714,136,PHP,200,OK,ALUMNO_POST 1-4,text,true,,19338,469,6,6,http://localhost:8001,96,0,0
1714890373714,96,PHP-0,302,Found,ALUMNO_POST 1-4,text,true,,650,321,6,6,http://localhost:8001/api/alumnos/,96,0,0
1714890373811,39,PHP-1,200,OK,ALUMNO_POST 1-4,text,true,,18688,148,6,6,http://localhost:8001,38,0,0
1714890373850,4,PYTHON,201,Created,ALUMNO_POST 1-4,text,true,,482,1165,6,6,http://localhost:8000/api/alumnos/create/,4,0,0
1714890373859,5,PYTHON,201,Created,ALUMNO_POST 1-7,text,true,,482,1137,7,7,http://localhost:8000/api/alumnos/create/,5,0,1
1714890373763,101,PHP,200,OK,ALUMNO_POST 1-5,text,true,,19338,469,7,7,http://localhost:8001,54,0,0
1714890373763,54,PHP-0,302,Found,ALUMNO_POST 1-5,text,true,,650,321,7,7,http://localhost:8001/api/alumnos/,54,0,0
1714890373817,47,PHP-1,200,OK,ALUMNO_POST 1-5,text,true,,18688,148,7,7,http://localhost:8001,47,0,0
1714890373864,4,PYTHON,201,Created,ALUMNO_POST 1-5,text,true,,482,1144,7,7,http://localhost:8000/api/alumnos/create/,4,0,0
1714890373813,88,PHP,200,OK,ALUMNO_POST 1-6,text,true,,19338,469,7,7,http://localhost:8001,45,0,0
1714890373813,45,PHP-0,302,Found,ALUMNO_POST 1-6,text,true,,650,321,7,7,http://localhost:8001/api/alumnos/,45,0,0
1714890373858,43,PHP-1,200,OK,ALUMNO_POST 1-6,text,true,,18688,148,7,7,http://localhost:8001,43,0,0
1714890373901,4,PYTHON,201,Created,ALUMNO_POST 1-6,text,true,,482,1186,7,7,http://localhost:8000/api/alumnos/create/,4,0,0
1714890373909,5,PYTHON,201,Created,ALUMNO_POST 1-8,text,true,,482,1193,8,8,http://localhost:8000/api/alumnos/create/,5,0,0
1714890373836,89,PHP,200,OK,ALUMNO_POST 1-1,text,true,,19338,469,8,8,http://localhost:8001,36,0,0
1714890373836,37,PHP-0,302,Found,ALUMNO_POST 1-1,text,true,,650,321,8,8,http://localhost:8001/api/alumnos/,36,0,0
1714890373873,52,PHP-1,200,OK,ALUMNO_POST 1-1,text,true,,18688,148,8,8,http://localhost:8001,52,0,0
1714890373925,4,PYTHON,201,Created,ALUMNO_POST 1-1,text,true,,482,1151,8,8,http://localhost:8000/api/alumnos/create/,4,0,0
1714890373841,90,PHP,200,OK,ALUMNO_POST 1-2,text,true,,19338,469,8,8,http://localhost:8001,39,0,1
1714890373841,39,PHP-0,302,Found,ALUMNO_POST 1-2,text,true,,650,321,8,8,http://localhost:8001/api/alumnos/,39,0,1
1714890373880,51,PHP-1,200,OK,ALUMNO_POST 1-2,text,true,,18688,148,8,8,http://localhost:8001,51,0,0
1714890373931,5,PYTHON,201,Created,ALUMNO_POST 1-2,text,true,,482,1151,8,8,http://localhost:8000/api/alumnos/create/,5,0,0
1714890373848,90,PHP,200,OK,ALUMNO_POST 1-3,text,true,,19338,469,8,8,http://localhost:8001,39,0,0
1714890373848,40,PHP-0,302,Found,ALUMNO_POST 1-3,text,true,,650,321,8,8,http://localhost:8001/api/alumnos/,39,0,0
1714890373888,50,PHP-1,200,OK,ALUMNO_POST 1-3,text,true,,18688,148,8,8,http://localhost:8001,49,0,0
1714890373938,4,PYTHON,201,Created,ALUMNO_POST 1-3,text,true,,482,1200,8,8,http://localhost:8000/api/alumnos/create/,4,0,0
1714890373854,90,PHP,200,OK,ALUMNO_POST 1-4,text,true,,19338,469,8,8,http://localhost:8001,41,0,0
1714890373854,41,PHP-0,302,Found,ALUMNO_POST 1-4,text,true,,650,321,8,8,http://localhost:8001/api/alumnos/,41,0,0
1714890373895,49,PHP-1,200,OK,ALUMNO_POST 1-4,text,true,,18688,148,8,8,http://localhost:8001,49,0,1
1714890373944,4,PYTHON,201,Created,ALUMNO_POST 1-4,text,true,,482,1179,8,8,http://localhost:8000/api/alumnos/create/,4,0,0
1714890373864,97,PHP,200,OK,ALUMNO_POST 1-7,text,true,,19338,469,9,9,http://localhost:8001,45,0,1
1714890373864,45,PHP-0,302,Found,ALUMNO_POST 1-7,text,true,,650,321,9,9,http://localhost:8001/api/alumnos/,45,0,1
1714890373909,52,PHP-1,200,OK,ALUMNO_POST 1-7,text,true,,18688,148,9,9,http://localhost:8001,51,0,0
1714890373961,6,PYTHON,201,Created,ALUMNO_POST 1-7,text,true,,482,1158,9,9,http://localhost:8000/api/alumnos/create/,6,0,0
1714890373959,8,PYTHON,201,Created,ALUMNO_POST 1-9,text,true,,482,1158,9,9,http://localhost:8000/api/alumnos/create/,8,0,0
1714890373868,110,PHP,200,OK,ALUMNO_POST 1-5,text,true,,19338,469,9,9,http://localhost:8001,49,0,1
1714890373868,50,PHP-0,302,Found,ALUMNO_POST 1-5,text,true,,650,321,9,9,http://localhost:8001/api/alumnos/,49,0,1
1714890373918,60,PHP-1,200,OK,ALUMNO_POST 1-5,text,true,,18688,148,9,9,http://localhost:8001,59,0,0
1714890373978,4,PYTHON,201,Created,ALUMNO_POST 1-5,text,true,,482,1186,9,9,http://localhost:8000/api/alumnos/create/,4,0,0
1714890374009,4,PYTHON,201,Created,ALUMNO_POST 1-10,text,true,,482,1144,10,10,http://localhost:8000/api/alumnos/create/,4,0,0
1714890373905,111,PHP,200,OK,ALUMNO_POST 1-6,text,true,,19338,469,10,10,http://localhost:8001,48,0,0
1714890373905,48,PHP-0,302,Found,ALUMNO_POST 1-6,text,true,,650,321,10,10,http://localhost:8001/api/alumnos/,48,0,0
1714890373953,63,PHP-1,200,OK,ALUMNO_POST 1-6,text,true,,18688,148,10,10,http://localhost:8001,63,0,0
1714890374016,4,PYTHON,201,Created,ALUMNO_POST 1-6,text,true,,482,1144,10,10,http://localhost:8000/api/alumnos/create/,4,0,0
1714890373914,126,PHP,200,OK,ALUMNO_POST 1-8,text,true,,19338,469,10,10,http://localhost:8001,55,0,0
1714890373914,55,PHP-0,302,Found,ALUMNO_POST 1-8,text,true,,650,321,10,10,http://localhost:8001/api/alumnos/,55,0,0
1714890373969,71,PHP-1,200,OK,ALUMNO_POST 1-8,text,true,,18688,148,10,10,http://localhost:8001,71,0,1
1714890374040,5,PYTHON,201,Created,ALUMNO_POST 1-8,text,true,,482,1193,10,10,http://localhost:8000/api/alumnos/create/,5,0,0
1714890373929,125,PHP,200,OK,ALUMNO_POST 1-1,text,true,,19338,469,10,10,http://localhost:8001,57,0,1
1714890373929,57,PHP-0,302,Found,ALUMNO_POST 1-1,text,true,,650,321,10,10,http://localhost:8001/api/alumnos/,57,0,1
1714890373986,68,PHP-1,200,OK,ALUMNO_POST 1-1,text,true,,18688,148,10,10,http://localhost:8001,68,0,0
1714890374054,4,PYTHON,201,Created,ALUMNO_POST 1-1,text,true,,482,1144,10,10,http://localhost:8000/api/alumnos/create/,4,0,0
1714890373936,125,PHP,200,OK,ALUMNO_POST 1-2,text,true,,19338,469,11,11,http://localhost:8001,58,0,0
1714890373936,58,PHP-0,302,Found,ALUMNO_POST 1-2,text,true,,650,321,11,11,http://localhost:8001/api/alumnos/,58,0,0
1714890373994,67,PHP-1,200,OK,ALUMNO_POST 1-2,text,true,,18688,148,11,11,http://localhost:8001,67,0,1
1714890374059,8,PYTHON,201,Created,ALUMNO_POST 1-11,text,true,,482,1179,11,11,http://localhost:8000/api/alumnos/create/,8,0,0
1714890374061,6,PYTHON,201,Created,ALUMNO_POST 1-2,text,true,,482,1172,11,11,http://localhost:8000/api/alumnos/create/,6,0,0
1714890373942,126,PHP,200,OK,ALUMNO_POST 1-3,text,true,,19338,469,11,11,http://localhost:8001,60,0,0
1714890373942,60,PHP-0,302,Found,ALUMNO_POST 1-3,text,true,,650,321,11,11,http://localhost:8001/api/alumnos/,60,0,0
1714890374002,66,PHP-1,200,OK,ALUMNO_POST 1-3,text,true,,18688,148,11,11,http://localhost:8001,65,0,0
1714890374068,4,PYTHON,201,Created,ALUMNO_POST 1-3,text,true,,482,1179,11,11,http://localhost:8000/api/alumnos/create/,4,0,0
1714890373948,127,PHP,200,OK,ALUMNO_POST 1-4,text,true,,19338,469,11,11,http://localhost:8001,62,0,1
1714890373948,62,PHP-0,302,Found,ALUMNO_POST 1-4,text,true,,650,321,11,11,http://localhost:8001/api/alumnos/,62,0,1
1714890374010,65,PHP-1,200,OK,ALUMNO_POST 1-4,text,true,,18688,148,11,11,http://localhost:8001,64,0,0
1714890374075,5,PYTHON,201,Created,ALUMNO_POST 1-4,text,true,,482,1200,11,11,http://localhost:8000/api/alumnos/create/,5,0,0
1714890373967,132,PHP,200,OK,ALUMNO_POST 1-7,text,true,,19338,469,11,11,http://localhost:8001,57,0,0
1714890373967,58,PHP-0,302,Found,ALUMNO_POST 1-7,text,true,,650,321,11,11,http://localhost:8001/api/alumnos/,57,0,0
1714890374025,74,PHP-1,200,OK,ALUMNO_POST 1-7,text,true,,18688,148,11,11,http://localhost:8001,74,0,0
1714890374099,5,PYTHON,201,Created,ALUMNO_POST 1-7,text,true,,482,1179,11,11,http://localhost:8000/api/alumnos/create/,5,0,0
1714890373967,139,PHP,200,OK,ALUMNO_POST 1-9,text,true,,19338,469,11,11,http://localhost:8001,67,0,0
1714890373967,67,PHP-0,302,Found,ALUMNO_POST 1-9,text,true,,650,321,11,11,http://localhost:8001/api/alumnos/,67,0,0
1714890374034,72,PHP-1,200,OK,ALUMNO_POST 1-9,text,true,,18688,148,11,11,http://localhost:8001,71,0,0
1714890374106,8,PYTHON,201,Created,ALUMNO_POST 1-9,text,true,,482,1172,12,12,http://localhost:8000/api/alumnos/create/,8,0,0
1714890374109,6,PYTHON,201,Created,ALUMNO_POST 1-12,text,true,,482,1158,12,12,http://localhost:8000/api/alumnos/create/,6,0,0
1714890373982,140,PHP,200,OK,ALUMNO_POST 1-5,text,true,,19338,469,12,12,http://localhost:8001,66,0,0
1714890373982,66,PHP-0,302,Found,ALUMNO_POST 1-5,text,true,,650,321,12,12,http://localhost:8001/api/alumnos/,66,0,0
1714890374048,74,PHP-1,200,OK,ALUMNO_POST 1-5,text,true,,18688,148,12,12,http://localhost:8001,74,0,0
1714890374122,6,PYTHON,201,Created,ALUMNO_POST 1-5,text,true,,482,1137,12,12,http://localhost:8000/api/alumnos/create/,6,0,0
1714890374159,4,PYTHON,201,Created,ALUMNO_POST 1-13,text,true,,482,1200,13,13,http://localhost:8000/api/alumnos/create/,4,0,0
1714890374014,159,PHP,200,OK,ALUMNO_POST 1-10,text,true,,19338,469,13,13,http://localhost:8001,69,0,0
1714890374014,70,PHP-0,302,Found,ALUMNO_POST 1-10,text,true,,650,321,13,13,http://localhost:8001/api/alumnos/,69,0,0
1714890374084,89,PHP-1,200,OK,ALUMNO_POST 1-10,text,true,,18688,148,13,13,http://localhost:8001,89,0,0
1714890374173,5,PYTHON,201,Created,ALUMNO_POST 1-10,text,true,,482,1165,13,13,http://localhost:8000/api/alumnos/create/,5,0,0
1714890374020,160,PHP,200,OK,ALUMNO_POST 1-6,text,true,,19338,469,13,13,http://localhost:8001,72,0,1
1714890374020,72,PHP-0,302,Found,ALUMNO_POST 1-6,text,true,,650,321,13,13,http://localhost:8001/api/alumnos/,72,0,1
1714890374092,88,PHP-1,200,OK,ALUMNO_POST 1-6,text,true,,18688,148,13,13,http://localhost:8001,88,0,1
1714890374180,6,PYTHON,201,Created,ALUMNO_POST 1-6,text,true,,482,1193,13,13,http://localhost:8000/api/alumnos/create/,6,0,0
1714890374209,5,PYTHON,201,Created,ALUMNO_POST 1-14,text,true,,482,1186,14,14,http://localhost:8000/api/alumnos/create/,5,0,0
1714890374045,170,PHP,200,OK,ALUMNO_POST 1-8,text,true,,19338,469,14,14,http://localhost:8001,71,0,0
1714890374045,71,PHP-0,302,Found,ALUMNO_POST 1-8,text,true,,650,321,14,14,http://localhost:8001/api/alumnos/,71,0,0
1714890374116,99,PHP-1,200,OK,ALUMNO_POST 1-8,text,true,,18688,148,14,14,http://localhost:8001,99,0,0
1714890374215,5,PYTHON,201,Created,ALUMNO_POST 1-8,text,true,,482,1179,14,14,http://localhost:8000/api/alumnos/create/,5,0,0
1714890374058,172,PHP,200,OK,ALUMNO_POST 1-1,text,true,,19338,469,14,14,http://localhost:8001,74,0,1
1714890374058,74,PHP-0,302,Found,ALUMNO_POST 1-1,text,true,,650,321,14,14,http://localhost:8001/api/alumnos/,74,0,1
1714890374132,98,PHP-1,200,OK,ALUMNO_POST 1-1,text,true,,18688,148,14,14,http://localhost:8001,98,0,0
1714890374230,5,PYTHON,201,Created,ALUMNO_POST 1-1,text,true,,482,1193,14,14,http://localhost:8000/api/alumnos/create/,5,0,0
1714890374067,169,PHP,200,OK,ALUMNO_POST 1-2,text,true,,19338,469,14,14,http://localhost:8001,73,0,0
1714890374067,73,PHP-0,302,Found,ALUMNO_POST 1-2,text,true,,650,321,14,14,http://localhost:8001/api/alumnos/,73,0,0
